lon,lat,WDIR planetary boundary layer d=2018102300 48 hour fcst
242.250000,41.250000,254.165
242.500000,41.250000,253.825
242.750000,41.250000,253.025
243.000000,41.250000,252.985
243.250000,41.250000,253.785
243.500000,41.250000,254.815
239.250000,41.500000,256.805
239.500000,41.500000,255.925
239.750000,41.500000,254.865
240.000000,41.500000,253.555
240.250000,41.500000,252.475
240.500000,41.500000,252.245
240.750000,41.500000,252.615
241.000000,41.500000,253.045
241.250000,41.500000,253.545
241.500000,41.500000,253.725
241.750000,41.500000,253.805
242.000000,41.500000,254.425
242.250000,41.500000,254.955
242.500000,41.500000,254.825
242.750000,41.500000,254.145
243.000000,41.500000,253.655
243.250000,41.500000,254.355
243.500000,41.500000,255.685
239.250000,41.750000,255.595
239.500000,41.750000,255.095
239.750000,41.750000,254.855
240.000000,41.750000,254.255
240.250000,41.750000,253.185
240.500000,41.750000,252.815
240.750000,41.750000,253.295
241.000000,41.750000,254.435
241.250000,41.750000,255.435
241.500000,41.750000,255.685
241.750000,41.750000,255.475
242.000000,41.750000,255.645
242.250000,41.750000,255.925
242.500000,41.750000,256.005
242.750000,41.750000,255.475
243.000000,41.750000,255.025
243.250000,41.750000,255.365
243.500000,41.750000,256.305
239.250000,42.000000,255.885
239.500000,42.000000,256.095
239.750000,42.000000,256.165
240.000000,42.000000,255.815
240.250000,42.000000,255.395
240.500000,42.000000,255.145
240.750000,42.000000,255.355
241.000000,42.000000,256.055
241.250000,42.000000,256.775
241.500000,42.000000,256.815
241.750000,42.000000,256.565
242.000000,42.000000,256.955
242.250000,42.000000,257.395
242.500000,42.000000,257.605
242.750000,42.000000,257.185
243.000000,42.000000,256.535
243.250000,42.000000,256.485
243.500000,42.000000,256.995
239.250000,42.250000,257.405
239.500000,42.250000,257.855
239.750000,42.250000,258.285
240.000000,42.250000,258.425
240.250000,42.250000,258.335
240.500000,42.250000,257.995
240.750000,42.250000,257.615
241.000000,42.250000,257.745
241.250000,42.250000,258.145
241.500000,42.250000,258.435
241.750000,42.250000,258.345
242.000000,42.250000,258.475
242.250000,42.250000,258.825
242.500000,42.250000,259.045
242.750000,42.250000,258.765
243.000000,42.250000,258.065
243.250000,42.250000,257.425
243.500000,42.250000,257.335
239.250000,42.500000,261.365
239.500000,42.500000,261.665
239.750000,42.500000,261.975
240.000000,42.500000,262.025
240.250000,42.500000,261.595
240.500000,42.500000,260.925
240.750000,42.500000,260.115
241.000000,42.500000,259.875
241.250000,42.500000,260.535
241.500000,42.500000,261.475
241.750000,42.500000,261.705
242.000000,42.500000,261.375
242.250000,42.500000,261.025
242.500000,42.500000,260.955
242.750000,42.500000,260.515
243.000000,42.500000,259.615
243.250000,42.500000,258.945
243.500000,42.500000,259.015
lon,lat,WIND 10 mb d=2018102300 48 hour fcst
239.250000,40.000000,15.5931
239.500000,40.000000,15.5931
239.750000,40.000000,15.6831
240.000000,40.000000,15.6231
240.250000,40.000000,15.6531
240.500000,40.000000,15.6331
240.750000,40.000000,15.4331
241.000000,40.000000,15.6631
241.250000,40.000000,16.0131
241.500000,40.000000,16.1531
241.750000,40.000000,16.1431
242.000000,40.000000,16.0431
242.250000,40.000000,15.7831
242.500000,40.000000,15.5531
242.750000,40.000000,15.4531
243.000000,40.000000,15.4031
243.250000,40.000000,15.5431
243.500000,40.000000,15.8031
239.250000,40.250000,15.0931
239.500000,40.250000,15.1431
239.750000,40.250000,15.0731
240.000000,40.250000,15.0931
240.250000,40.250000,15.1431
240.500000,40.250000,15.1131
240.750000,40.250000,14.8131
241.000000,40.250000,14.9831
241.250000,40.250000,15.6131
241.500000,40.250000,15.9231
241.750000,40.250000,16.0131
242.000000,40.250000,15.9231
242.250000,40.250000,15.6631
242.500000,40.250000,15.4331
242.750000,40.250000,15.3931
243.000000,40.250000,15.4231
243.250000,40.250000,15.4131
243.500000,40.250000,15.6431
239.250000,40.500000,14.8831
239.500000,40.500000,14.9331
239.750000,40.500000,14.7531
240.000000,40.500000,14.5131
240.250000,40.500000,14.6731
240.500000,40.500000,14.7531
240.750000,40.500000,14.4531
241.000000,40.500000,14.5231
241.250000,40.500000,15.1731
241.500000,40.500000,15.6631
241.750000,40.500000,15.8931
242.000000,40.500000,15.7731
242.250000,40.500000,15.6031
242.500000,40.500000,15.3931
242.750000,40.500000,15.2631
243.000000,40.500000,15.3231
243.250000,40.500000,15.4531
243.500000,40.500000,15.7031
239.250000,40.750000,14.3831
239.500000,40.750000,14.4831
239.750000,40.750000,14.3331
240.000000,40.750000,14.1231
240.250000,40.750000,14.2231
240.500000,40.750000,14.4031
240.750000,40.750000,14.3831
241.000000,40.750000,14.4631
241.250000,40.750000,15.0031
241.500000,40.750000,15.6031
241.750000,40.750000,15.8531
242.000000,40.750000,15.7231
242.250000,40.750000,15.4331
242.500000,40.750000,15.3631
242.750000,40.750000,15.4431
243.000000,40.750000,15.4831
243.250000,40.750000,15.6531
243.500000,40.750000,15.9231
239.250000,41.000000,13.7331
239.500000,41.000000,13.7231
239.750000,41.000000,13.6331
240.000000,41.000000,13.5931
240.250000,41.000000,13.8931
240.500000,41.000000,14.2331
240.750000,41.000000,14.3431
241.000000,41.000000,14.5331
241.250000,41.000000,15.0431
241.500000,41.000000,15.5731
241.750000,41.000000,15.8931
242.000000,41.000000,15.8131
242.250000,41.000000,15.4431
242.500000,41.000000,15.3831
242.750000,41.000000,15.6431
243.000000,41.000000,15.7531
243.250000,41.000000,15.8331
243.500000,41.000000,15.9831
239.250000,41.250000,13.4531
239.500000,41.250000,13.5031
239.750000,41.250000,13.3931
240.000000,41.250000,13.2631
240.250000,41.250000,13.6531
240.500000,41.250000,14.0931
240.750000,41.250000,14.2431
241.000000,41.250000,14.3931
241.250000,41.250000,14.8031
241.500000,41.250000,15.2831
241.750000,41.250000,15.6631
242.000000,41.250000,15.7831
242.250000,41.250000,15.5731
242.500000,41.250000,15.4731
242.750000,41.250000,15.6231
243.000000,41.250000,15.7931
243.250000,41.250000,15.7631
243.500000,41.250000,15.7731
239.250000,41.500000,13.3131
239.500000,41.500000,13.3231
239.750000,41.500000,13.3631
240.000000,41.500000,13.4231
240.250000,41.500000,13.7531
240.500000,41.500000,14.0031
240.750000,41.500000,14.0231
241.000000,41.500000,14.0931
241.250000,41.500000,14.3031
241.500000,41.500000,14.7031
241.750000,41.500000,15.1331
242.000000,41.500000,15.4231
242.250000,41.500000,15.4531
242.500000,41.500000,15.3631
242.750000,41.500000,15.3331
243.000000,41.500000,15.3831
243.250000,41.500000,15.4231
243.500000,41.500000,15.2431
239.250000,41.750000,12.8631
239.500000,41.750000,13.1031
239.750000,41.750000,13.4431
240.000000,41.750000,13.7031
240.250000,41.750000,13.7931
240.500000,41.750000,13.6731
240.750000,41.750000,13.4031
241.000000,41.750000,13.5331
241.250000,41.750000,13.7931
241.500000,41.750000,14.0431
241.750000,41.750000,14.4731
242.000000,41.750000,14.8831
242.250000,41.750000,14.9731
242.500000,41.750000,14.9231
242.750000,41.750000,14.7931
243.000000,41.750000,14.8231
243.250000,41.750000,14.8031
243.500000,41.750000,14.7431
239.250000,42.000000,12.4731
239.500000,42.000000,12.8231
239.750000,42.000000,13.2531
240.000000,42.000000,13.5031
240.250000,42.000000,13.4031
240.500000,42.000000,12.8731
240.750000,42.000000,12.4531
241.000000,42.000000,12.5731
241.250000,42.000000,13.0731
241.500000,42.000000,13.5131
241.750000,42.000000,13.8631
242.000000,42.000000,14.2731
242.250000,42.000000,14.4431
242.500000,42.000000,14.4031
242.750000,42.000000,14.2431
243.000000,42.000000,14.3431
243.250000,42.000000,14.5031
243.500000,42.000000,14.5731
239.250000,42.250000,11.8331
239.500000,42.250000,12.2631
239.750000,42.250000,12.7031
240.000000,42.250000,12.8131
240.250000,42.250000,12.5631
240.500000,42.250000,11.9231
240.750000,42.250000,11.5231
241.000000,42.250000,11.7831
241.250000,42.250000,12.4131
241.500000,42.250000,12.9731
241.750000,42.250000,13.3131
242.000000,42.250000,13.6131
242.250000,42.250000,13.8331
242.500000,42.250000,13.8931
242.750000,42.250000,13.8631
243.000000,42.250000,14.1231
243.250000,42.250000,14.3231
243.500000,42.250000,14.2331
239.250000,42.500000,10.9831
239.500000,42.500000,11.4531
239.750000,42.500000,11.8231
240.000000,42.500000,11.9031
240.250000,42.500000,11.5631
240.500000,42.500000,10.9731
240.750000,42.500000,10.7831
241.000000,42.500000,11.1431
241.250000,42.500000,11.6731
241.500000,42.500000,12.2131
241.750000,42.500000,12.4731
242.000000,42.500000,12.6631
242.250000,42.500000,13.0131
242.500000,42.500000,13.3031
242.750000,42.500000,13.5931
243.000000,42.500000,13.9831
243.250000,42.500000,14.1331
243.500000,42.500000,13.7531
lon,lat,WDIR 20 mb d=2018102300 48 hour fcst
239.250000,40.000000,309.168
239.500000,40.000000,311.668
239.750000,40.000000,311.788
240.000000,40.000000,309.478
240.250000,40.000000,309.788
240.500000,40.000000,311.778
240.750000,40.000000,312.778
241.000000,40.000000,312.178
241.250000,40.000000,310.748
241.500000,40.000000,309.378
241.750000,40.000000,309.808
242.000000,40.000000,308.888
242.250000,40.000000,309.718
242.500000,40.000000,308.568
242.750000,40.000000,306.478
243.000000,40.000000,306.168
243.250000,40.000000,305.688
243.500000,40.000000,303.908
239.250000,40.250000,310.028
239.500000,40.250000,313.858
239.750000,40.250000,314.118
240.000000,40.250000,310.018
240.250000,40.250000,309.388
240.500000,40.250000,310.348
240.750000,40.250000,311.008
241.000000,40.250000,311.028
241.250000,40.250000,310.748
241.500000,40.250000,309.448
241.750000,40.250000,309.268
242.000000,40.250000,308.888
242.250000,40.250000,310.298
242.500000,40.250000,310.348
242.750000,40.250000,307.848
243.000000,40.250000,307.088
243.250000,40.250000,307.878
243.500000,40.250000,307.638
239.250000,40.500000,310.448
239.500000,40.500000,313.028
239.750000,40.500000,315.398
240.000000,40.500000,312.688
240.250000,40.500000,311.288
240.500000,40.500000,310.638
240.750000,40.500000,309.688
241.000000,40.500000,309.668
241.250000,40.500000,309.608
241.500000,40.500000,308.948
241.750000,40.500000,308.738
242.000000,40.500000,309.418
242.250000,40.500000,310.548
242.500000,40.500000,311.498
242.750000,40.500000,309.808
243.000000,40.500000,308.218
243.250000,40.500000,308.548
243.500000,40.500000,307.998
239.250000,40.750000,311.078
239.500000,40.750000,312.558
239.750000,40.750000,314.758
240.000000,40.750000,314.418
240.250000,40.750000,312.678
240.500000,40.750000,310.908
240.750000,40.750000,309.838
241.000000,40.750000,309.028
241.250000,40.750000,308.738
241.500000,40.750000,309.538
241.750000,40.750000,310.408
242.000000,40.750000,311.158
242.250000,40.750000,312.578
242.500000,40.750000,312.988
242.750000,40.750000,312.088
243.000000,40.750000,311.358
243.250000,40.750000,310.718
243.500000,40.750000,310.248
239.250000,41.000000,312.318
239.500000,41.000000,313.398
239.750000,41.000000,314.138
240.000000,41.000000,313.298
240.250000,41.000000,312.118
240.500000,41.000000,310.718
240.750000,41.000000,310.338
241.000000,41.000000,309.878
241.250000,41.000000,309.858
241.500000,41.000000,312.478
241.750000,41.000000,313.248
242.000000,41.000000,313.018
242.250000,41.000000,313.928
242.500000,41.000000,315.408
242.750000,41.000000,315.738
243.000000,41.000000,316.298
243.250000,41.000000,316.358
243.500000,41.000000,315.588
239.250000,41.250000,312.368
239.500000,41.250000,313.848
239.750000,41.250000,313.438
240.000000,41.250000,312.228
240.250000,41.250000,311.408
240.500000,41.250000,310.378
240.750000,41.250000,310.588
241.000000,41.250000,310.538
241.250000,41.250000,311.398
241.500000,41.250000,314.368
241.750000,41.250000,316.498
242.000000,41.250000,314.958
242.250000,41.250000,314.828
242.500000,41.250000,317.798
242.750000,41.250000,320.108
243.000000,41.250000,320.838
243.250000,41.250000,320.528
243.500000,41.250000,321.068
239.250000,41.500000,312.958
239.500000,41.500000,314.358
239.750000,41.500000,313.698
240.000000,41.500000,312.108
240.250000,41.500000,311.838
240.500000,41.500000,311.718
240.750000,41.500000,312.098
241.000000,41.500000,312.368
241.250000,41.500000,314.008
241.500000,41.500000,316.758
241.750000,41.500000,318.328
242.000000,41.500000,316.458
242.250000,41.500000,316.378
242.500000,41.500000,320.168
242.750000,41.500000,323.738
243.000000,41.500000,324.468
243.250000,41.500000,323.558
243.500000,41.500000,324.248
239.250000,41.750000,315.378
239.500000,41.750000,316.248
239.750000,41.750000,314.198
240.000000,41.750000,312.628
240.250000,41.750000,312.988
240.500000,41.750000,315.068
240.750000,41.750000,316.248
241.000000,41.750000,315.398
241.250000,41.750000,316.828
241.500000,41.750000,319.408
241.750000,41.750000,319.898
242.000000,41.750000,318.768
242.250000,41.750000,318.598
242.500000,41.750000,322.638
242.750000,41.750000,327.128
243.000000,41.750000,328.208
243.250000,41.750000,326.348
243.500000,41.750000,325.538
239.250000,42.000000,318.828
239.500000,42.000000,318.658
239.750000,42.000000,316.768
240.000000,42.000000,314.648
240.250000,42.000000,316.068
240.500000,42.000000,319.298
240.750000,42.000000,321.378
241.000000,42.000000,320.618
241.250000,42.000000,319.798
241.500000,42.000000,320.968
241.750000,42.000000,321.688
242.000000,42.000000,320.488
242.250000,42.000000,320.318
242.500000,42.000000,323.488
242.750000,42.000000,328.158
243.000000,42.000000,329.548
243.250000,42.000000,326.798
243.500000,42.000000,324.958
239.250000,42.250000,322.638
